date,Intubations_covid
2021-01-13,133
2021-01-12,123
2021-01-11,130
2021-01-10,118
2021-01-09,129
2021-01-08,124
2021-01-07,132
2021-01-06,119
2021-01-05,122
2021-01-04,122
2021-01-03,112
2021-01-02,126
2021-01-01,101
2020-12-31,118
2020-12-30,119
2020-12-29,121
2020-12-28,121
2020-12-27,116
2020-12-26,94
2020-12-25,103
2020-12-24,117
2020-12-23,100
2020-12-22,127
2020-12-21,125
2020-12-20,109
2020-12-19,126
2020-12-18,119
2020-12-17,110
2020-12-16,110
2020-12-15,128
2020-12-14,116
2020-12-13,101
2020-12-12,112
2020-12-11,119
2020-12-10,115
2020-12-09,112
2020-12-08,88
2020-12-07,94
2020-12-06,70
2020-12-05,95
2020-12-04,98
2020-12-03,100
2020-12-02,96
2020-12-01,119
2020-11-30,103
2020-11-29,89
2020-11-28,101
2020-11-27,86
2020-11-26,74
2020-11-25,92
2020-11-24,106
2020-11-23,84
2020-11-22,114
2020-11-21,88
2020-11-20,82
2020-11-19,79
2020-11-18,79
2020-11-17,72
2020-11-16,63
2020-11-15,53
2020-11-14,64
2020-11-13,72
2020-11-12,64
2020-11-11,62
2020-11-10,92
2020-11-09,78
2020-11-08,61
2020-11-07,68
2020-11-06,70
2020-11-05,70
2020-11-04,48
2020-11-03,67
2020-11-02,50
2020-11-01,59
2020-10-31,67
2020-10-30,61
2020-10-29,59
2020-10-28,57
2020-10-27,58
2020-10-26,45
2020-10-25,60
2020-10-24,70
2020-10-23,63
2020-10-22,62
2020-10-21,58
2020-10-20,48
2020-10-19,46
2020-10-18,43
2020-10-17,51
2020-10-16,60
2020-10-15,63
2020-10-14,42
2020-10-13,55
2020-10-12,50
2020-10-11,70
2020-10-10,45
2020-10-09,49
2020-10-08,62
2020-10-07,63
2020-10-06,45
2020-10-05,52
2020-10-04,45
2020-10-03,52
2020-10-02,55
2020-10-01,40
2020-09-30,53
2020-09-29,41
2020-09-28,38
2020-09-27,45
2020-09-26,32
2020-09-25,54
2020-09-24,62
2020-09-23,61
2020-09-22,55
2020-09-21,50
2020-09-20,34
2020-09-19,46
2020-09-18,58
2020-09-17,58
2020-09-16,48
2020-09-15,46
2020-09-14,49
2020-09-13,41
2020-09-12,41
2020-09-11,44
2020-09-10,36
2020-09-09,54
2020-09-08,40
2020-09-07,41
2020-09-06,52
2020-09-05,51
2020-09-04,48
2020-09-03,55
2020-09-02,49
2020-09-01,56
2020-08-31,64
2020-08-30,53
2020-08-29,63
2020-08-28,65
2020-08-27,56
2020-08-26,74
2020-08-25,64
2020-08-24,57
2020-08-23,42
2020-08-22,51
2020-08-21,56
2020-08-20,55
2020-08-19,68
2020-08-18,61
2020-08-17,68
2020-08-16,62
2020-08-15,67
2020-08-14,55
2020-08-13,64
2020-08-12,58
2020-08-11,73
2020-08-10,65
2020-08-09,61
2020-08-08,55
2020-08-07,72
2020-08-06,70
2020-08-05,70
2020-08-04,70
2020-08-03,65
2020-08-02,86
2020-08-01,78
2020-07-31,74
2020-07-30,80
2020-07-29,86
2020-07-28,87
2020-07-27,92
2020-07-26,94
2020-07-25,81
2020-07-24,75
2020-07-23,96
2020-07-22,71
2020-07-21,87
2020-07-20,73
2020-07-19,90
2020-07-18,89
2020-07-17,104
2020-07-16,104
2020-07-15,106
2020-07-14,108
2020-07-13,117
2020-07-12,99
2020-07-11,98
2020-07-10,108
2020-07-09,103
2020-07-08,107
2020-07-07,121
2020-07-06,111
2020-07-05,104
2020-07-04,116
2020-07-03,95
2020-07-02,66
2020-07-01,66
2020-06-30,71
2020-06-29,48
2020-06-28,66
2020-06-27,57
2020-06-26,65
2020-06-25,61
2020-06-24,66
2020-06-23,69
2020-06-22,51
2020-06-21,65
2020-06-20,52
2020-06-19,82
2020-06-18,102
2020-06-17,81
2020-06-16,104
2020-06-15,81
2020-06-14,80
2020-06-13,69
2020-06-12,71
2020-06-11,74
2020-06-10,70
2020-06-09,93
2020-06-08,74
2020-06-07,109
2020-06-06,100
2020-06-05,90
2020-06-04,84
2020-06-03,52
2020-06-02,48
2020-06-01,49
2020-05-31,57
2020-05-30,57
2020-05-29,52
2020-05-28,67
2020-05-27,55
2020-05-26,54
2020-05-25,56
2020-05-24,55
2020-05-23,56
2020-05-22,40
2020-05-21,59
2020-05-20,67
2020-05-19,54
2020-05-18,49
2020-05-17,52
2020-05-16,65
2020-05-15,53
2020-05-14,48
2020-05-13,55
2020-05-12,53
2020-05-11,54
2020-05-10,82
2020-05-09,85
2020-05-08,97
2020-05-07,84
2020-05-06,88
2020-05-05,66
2020-05-04,58
2020-05-03,63
2020-05-02,46
2020-05-01,58
2020-04-30,60
2020-04-29,47
2020-04-28,44
2020-04-27,56
2020-04-26,51
2020-04-25,50
2020-04-24,41
2020-04-23,53
2020-04-22,45
2020-04-21,38
2020-04-20,47
2020-04-19,43
2020-04-18,42
2020-04-17,51
2020-04-16,41
2020-04-15,61
2020-04-14,45
2020-04-13,42
2020-04-12,38
2020-04-11,40
2020-04-10,43
2020-04-09,56
2020-04-08,12
