"Date","CareType","n","County"
2020-04-03,"icu_Under19",0,"Maricopa"
2020-03-24,"icu_20_44",NA,"Maricopa"
2020-03-25,"icu_20_44",NA,"Maricopa"
2020-03-26,"icu_20_44",NA,"Maricopa"
2020-03-27,"icu_20_44",3,"Maricopa"
2020-03-28,"icu_20_44",4,"Maricopa"
2020-03-29,"icu_20_44",5,"Maricopa"
2020-03-30,"icu_20_44",5,"Maricopa"
2020-03-31,"icu_20_44",7,"Maricopa"
2020-04-01,"icu_20_44",7,"Maricopa"
2020-04-02,"icu_20_44",9,"Maricopa"
2020-04-03,"icu_20_44",11,"Maricopa"
2020-03-24,"icu_45_64",NA,"Maricopa"
2020-03-25,"icu_45_64",NA,"Maricopa"
2020-03-26,"icu_45_64",NA,"Maricopa"
2020-03-27,"icu_45_64",8,"Maricopa"
2020-03-28,"icu_45_64",10,"Maricopa"
2020-03-29,"icu_45_64",11,"Maricopa"
2020-03-30,"icu_45_64",13,"Maricopa"
2020-03-31,"icu_45_64",18,"Maricopa"
2020-04-01,"icu_45_64",20,"Maricopa"
2020-04-02,"icu_45_64",26,"Maricopa"
2020-04-03,"icu_45_64",29,"Maricopa"
2020-03-24,"icu_65_plus",NA,"Maricopa"
2020-03-25,"icu_65_plus",NA,"Maricopa"
2020-03-26,"icu_65_plus",NA,"Maricopa"
2020-03-27,"icu_65_plus",17,"Maricopa"
2020-03-28,"icu_65_plus",20,"Maricopa"
2020-03-29,"icu_65_plus",22,"Maricopa"
2020-03-30,"icu_65_plus",28,"Maricopa"
2020-03-31,"icu_65_plus",26,"Maricopa"
2020-04-01,"icu_65_plus",31,"Maricopa"
2020-04-02,"icu_65_plus",33,"Maricopa"
2020-04-03,"icu_65_plus",36,"Maricopa"
2020-04-02,"Hospitalized",45,"Pima"
2020-04-03,"Hospitalized",66,"Pima"
2020-04-02,"ICU",15,"Pima"
2020-04-03,"ICU",24,"Pima"
2020-03-31,"Hospitalized",3,"Yavapai"
2020-04-01,"Hospitalized",1,"Yavapai"
2020-04-02,"Hospitalized",4,"Yavapai"
2020-04-03,"Hospitalized",3,"Yavapai"
2020-04-02,"Hospitalized",15,"Pinal"
2020-04-02,"ICU",4,"Pinal"
